Customer ID,Segment,ChurnRisk,Recency,Frequency,Monetary,ChurnProbability,Action
18102,High Value Customers,Low Risk,0,145,608822,1.10%, VIP Call Loyalty Reward
14646,High Value Customers,Low Risk,1,152,528603,1.10%, VIP Call Loyalty Reward
14911,High Value Customers,Low Risk,0,398,295973,1.10%, VIP Call Loyalty Reward
17511,High Value Customers,Low Risk,2,60,175604,1.20%, VIP Call Loyalty Reward
17949,High Value Customers,Low Risk,0,118,118628,1.10%, VIP Call Loyalty Reward
15311,High Value Customers,Low Risk,0,208,116771,1.10%, VIP Call Loyalty Reward
13089,High Value Customers,Low Risk,2,203,116738,1.10%, VIP Call Loyalty Reward
13798,High Value Customers,Low Risk,0,110,75837,1.10%, VIP Call Loyalty Reward
17841,High Value Customers,Low Risk,1,211,70884,1.10%, VIP Call Loyalty Reward
14096,High Value Customers,Low Risk,3,17,65165,27.20%, VIP Call Loyalty Reward
17389,High Value Customers,Low Risk,0,61,57225,1.20%, VIP Call Loyalty Reward
12748,High Value Customers,Low Risk,0,337,56599,1.10%, VIP Call Loyalty Reward
13777,High Value Customers,Low Risk,0,61,56478,1.20%, VIP Call Loyalty Reward
13408,High Value Customers,Low Risk,1,106,51733,1.10%, VIP Call Loyalty Reward
17404,High Value Customers,Low Risk,3,23,47781,27.20%, VIP Call Loyalty Reward
16705,High Value Customers,Low Risk,0,42,43515,1.20%, VIP Call Loyalty Reward
12471,High Value Customers,Low Risk,1,79,39964,1.10%, VIP Call Loyalty Reward
16210,High Value Customers,Low Risk,1,35,38490,1.20%, VIP Call Loyalty Reward
17675,High Value Customers,Low Risk,0,70,38260,1.10%, VIP Call Loyalty Reward
17677,High Value Customers,Low Risk,1,54,36693,1.20%, VIP Call Loyalty Reward
13767,High Value Customers,Low Risk,1,73,35541,1.10%, VIP Call Loyalty Reward
16779,High Value Customers,Low Risk,1,53,33268,1.20%, VIP Call Loyalty Reward
17428,High Value Customers,Low Risk,0,45,31820,1.20%, VIP Call Loyalty Reward
14606,High Value Customers,Low Risk,0,192,30861,1.10%, VIP Call Loyalty Reward
13078,High Value Customers,Low Risk,2,57,29532,1.20%, VIP Call Loyalty Reward
13098,High Value Customers,Low Risk,0,28,28882,1.20%, VIP Call Loyalty Reward
14527,High Value Customers,Low Risk,2,122,27792,1.10%, VIP Call Loyalty Reward
15498,High Value Customers,Low Risk,2,44,26040,1.20%, VIP Call Loyalty Reward
12621,High Value Customers,Low Risk,1,35,24776,1.20%, VIP Call Loyalty Reward
16525,High Value Customers,Low Risk,1,48,24583,1.20%, VIP Call Loyalty Reward
14051,High Value Customers,Low Risk,0,37,22434,1.40%, VIP Call Loyalty Reward
15159,High Value Customers,Low Risk,1,34,22117,1.40%, VIP Call Loyalty Reward
17243,High Value Customers,Low Risk,0,69,20890,1.20%, VIP Call Loyalty Reward
12433,High Value Customers,Low Risk,0,10,20581,1.30%, VIP Call Loyalty Reward
17581,High Value Customers,Low Risk,0,43,18758,1.30%, VIP Call Loyalty Reward
13113,High Value Customers,Low Risk,0,37,18626,1.30%, VIP Call Loyalty Reward
15189,High Value Customers,Low Risk,0,46,17524,1.30%, VIP Call Loyalty Reward
17735,High Value Customers,Low Risk,1,26,17245,1.30%, VIP Call Loyalty Reward
13225,High Value Customers,Low Risk,2,16,16260,1.30%, VIP Call Loyalty Reward
18092,High Value Customers,Low Risk,1,18,16179,1.30%, VIP Call Loyalty Reward
14769,High Value Customers,Low Risk,2,17,15772,1.30%, VIP Call Loyalty Reward
16191,High Value Customers,Low Risk,2,24,15688,1.30%, VIP Call Loyalty Reward
12583,High Value Customers,Low Risk,2,27,14447,1.30%, VIP Call Loyalty Reward
17017,High Value Customers,Low Risk,2,29,14111,1.30%, VIP Call Loyalty Reward
16558,High Value Customers,Low Risk,0,38,13874,1.30%, VIP Call Loyalty Reward
12989,High Value Customers,Low Risk,2,33,13552,1.30%, VIP Call Loyalty Reward
13468,High Value Customers,Low Risk,1,72,13391,1.10%, VIP Call Loyalty Reward
13668,High Value Customers,Low Risk,2,35,13090,1.30%, VIP Call Loyalty Reward
18225,High Value Customers,Low Risk,2,26,13054,1.30%, VIP Call Loyalty Reward
16161,High Value Customers,Low Risk,1,43,12832,1.30%, VIP Call Loyalty Reward
12437,High Value Customers,Low Risk,1,39,12683,1.30%, VIP Call Loyalty Reward
13013,High Value Customers,Low Risk,0,29,12626,1.30%, VIP Call Loyalty Reward
15194,High Value Customers,Low Risk,2,28,12428,1.30%, VIP Call Loyalty Reward
16000,High Value Customers,Low Risk,2,3,12394,1.70%, VIP Call Loyalty Reward
14739,High Value Customers,Low Risk,3,25,12288,23.10%, VIP Call Loyalty Reward
14735,High Value Customers,Low Risk,3,56,12240,26.40%, VIP Call Loyalty Reward
15023,High Value Customers,Low Risk,2,20,12171,1.40%, VIP Call Loyalty Reward
14415,High Value Customers,Low Risk,0,23,12092,1.40%, VIP Call Loyalty Reward
17364,High Value Customers,Low Risk,0,28,12070,1.40%, VIP Call Loyalty Reward
16523,High Value Customers,Low Risk,1,28,11916,1.40%, VIP Call Loyalty Reward
13102,High Value Customers,Low Risk,0,37,11697,1.40%, VIP Call Loyalty Reward
13680,High Value Customers,Low Risk,0,12,11436,1.40%, VIP Call Loyalty Reward
14796,High Value Customers,Low Risk,0,27,10890,1.10%, VIP Call Loyalty Reward
